tau,data_size,box_norm,box_std,ch_norm,ch_std,ell_norm,ell_std,ell_0.9_norm,ell_0.9_std
0.1,100,-0.37122724369211124,0.0,0.9870385855931191,0.0,1.0,0.0,1.0,0.0
0.5,100,0.9977443308847014,0.0,0.9966551188627405,0.0,-0.47094715852442676,0.0,-0.4811493007484099,0.0
0.9,100,0.9977443308847014,0.0,0.9966551188627405,0.0,-0.4872981056829511,0.0,-0.49730131021890495,0.0
0.1,1000,0.9876687017994858,0.0,0.9878961049268805,0.0,1.0,0.0,1.0,0.0
0.5,1000,0.990279562982005,0.0,0.9911304244300255,0.0,1.0,0.0,1.0,0.0
0.9,1000,0.990279562982005,0.0,0.9911304244300255,0.0,1.0,0.0,1.0,0.0
0.1,10000,0.9882503652995456,0.0,0.9879320351431946,0.0,1.0,0.0,1.0,0.0
0.5,10000,0.991713204827959,0.0,0.9907739107811155,0.0,1.0,0.0,1.0,0.0
0.9,10000,0.991713204827959,0.0,0.9907739107811155,0.0,1.0,0.0,1.0,0.0
